State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Uttarakhand,1987,Vandalism,Graffiti on public property,Kotdwara,Vehicle registration records,K-9 Unit,Open,Not convicted,No
Andhra Pradesh,1993,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Kurnool,Audio recordings,City Police Department,Under Investigation,Partially convicted,No
Goa,1983,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Curchorem,Audio recordings,Metropolitan Police Department,Closed,Partially convicted,No
Gujarat,1993,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Surat,Photographic evidence,State Police Department,Under Investigation,Partially convicted,No
Arunachal Pradesh,1995,Forgery,Counterfeit currency operation,Bomdila,Witness statements,Traffic Enforcement Unit,Under Investigation,Partially convicted,Yes
Manipur,2021,Vandalism,Graffiti on public property,Lilong,Property ownership documents,Traffic Enforcement Unit,Closed,Not convicted,No
Punjab,2010,White-Collar Crime,Corporate espionage by rival companies,Abohar,Video surveillance footage,Forensic Science Division,Closed,Partially convicted,Yes
Maharashtra,2004,Terrorism,Bombing at a crowded public event,Pune,Confession statements,Traffic Enforcement Unit,Under Investigation,Partially convicted,No
Odisha,2021,Hate Crime,Racist hate group targets minority community with threats and intimidation,Rourkela,Crime scene photographs,Special Investigations Unit,Open,Convicted,Yes
Mizoram,1973,Forgery,Forgery of legal documents for identity theft,Saitual,Bank statements,Special Investigations Unit,Open,Not convicted,No
Karnataka,1999,Fraudulent Schemes,"Ponzi scheme collapses, defrauding investors of millions of dollars",Davanagere,Photographic evidence,City Police Department,Open,Convicted,Yes
Telangana,1998,Cybercrime,Identity theft through phishing emails,Suryapet,Forensic analysis reports,Metropolitan Police Department,Under Investigation,Convicted,No
Jharkhand,1975,White-Collar Crime,Corporate espionage by rival companies,Dhanbad,Financial transactions,Major Crimes Unit,Under Investigation,Not convicted,Yes
Jharkhand,1975,Fraudulent Schemes,Online phishing scam tricks users into revealing personal information,Hazaribagh,Audio recordings,Fraud Investigation Unit,Open,Not convicted,Yes
Punjab,2007,Terrorism,Cyberterrorism targeting critical infrastructure,Bathinda,Audio recordings,Special Investigations Unit,Open,Not convicted,Yes
Himachal Pradesh,1989,Public Intoxication,Public urination in a city park,Bilaspur,Photographic evidence,Forensic Science Division,Under Investigation,Convicted,Yes
Kerala,2002,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Malappuram,Expert witness testimony,City Police Department,Open,Not convicted,No
Mizoram,1975,Fraud,Insurance fraud scheme,Hnahthial,Property ownership documents,K-9 Unit,Closed,Partially convicted,Yes
Sikkim,1973,Embezzlement,Misappropriation of funds by a financial advisor,Soreng,Character witness testimonies,Highway Patrol,Closed,Not convicted,No
Himachal Pradesh,2009,Public Intoxication,Public urination in a city park,Hamirpur,Phone records,Fraud Investigation Unit,Closed,Partially convicted,No
Rajasthan,2007,Burglary,Office burglary during the night,Ajmer,Confession statements,Victim Services Division,Under Investigation,Not convicted,No
Gujarat,2002,Car Theft,"Chop shop operation busted, dismantling stolen cars for parts",Jamnagar,"Digital evidence (e.g., emails, text messages)",Special Operations Division,Closed,Not convicted,Yes
Mizoram,2010,Public Corruption,Police officers implicated in drug trafficking ring,Hnahthial,Confession statements,Highway Patrol,Closed,Partially convicted,Yes
Uttarakhand,1990,Domestic Violence,Child abuse within a family,Pithoragarh,Expert witness testimony,State Police Department,Closed,Convicted,No
Goa,2006,Public Corruption,Corrupt city official siphons public funds for personal use,Panaji,Expert witness testimony,K-9 Unit,Closed,Partially convicted,No
Andhra Pradesh,1980,Public Intoxication,Public urination in a city park,Visakhapatnam,Crime scene photographs,State Police Department,Closed,Partially convicted,No
Tamil Nadu,1986,Assault,Street fight between two individuals,Chennai,"Physical evidence (e.g., fingerprints, DNA)",Fraud Investigation Unit,Open,Not convicted,No
Gujarat,1996,Robbery,Mugging in a dark alley,Jamnagar,Expert witness testimony,Criminal Investigation Division,Closed,Not convicted,Yes
Gujarat,1997,Public Intoxication,Drunken disorderly conduct at a bar,Bhavnagar,"Physical evidence (e.g., fingerprints, DNA)",Homicide Unit,Open,Convicted,No
Haryana,2014,Terrorism,Cyberterrorism targeting critical infrastructure,Rohtak,Expert witness testimony,Special Operations Division,Under Investigation,Partially convicted,Yes
Punjab,1988,Sexual Assault,Sexual assault by a trusted authority figure,Mohali,Vehicle registration records,Homicide Unit,Under Investigation,Not convicted,No
Tripura,1987,Fraud,Tax evasion,Kailasahar,Video surveillance footage,City Police Department,Open,Not convicted,Yes
Madhya Pradesh,2020,Armed Robbery,Jewelry store heist involving a group of armed robbers,Dewas,Crime scene photographs,Cyber Crimes Unit,Closed,Partially convicted,No
Tamil Nadu,2015,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Vellore,"Digital evidence (e.g., emails, text messages)",Special Investigations Unit,Open,Convicted,Yes
Maharashtra,1995,Terrorist Attack,Terrorist cell carries out coordinated attacks on public transportation,Aurangabad,Confession statements,SWAT Team,Open,Partially convicted,No
Uttarakhand,1979,Homicide,Domestic murder-suicide,Dehradun,Financial transactions,SWAT Team,Under Investigation,Partially convicted,Yes
Tripura,1983,Vandalism,Defacing a monument,Kailasahar,Property ownership documents,Fraud Investigation Unit,Closed,Partially convicted,Yes
Uttarakhand,1986,Drug Possession,Possession of illegal substances during a traffic stop,Ramnagar,Crime scene photographs,Victim Services Division,Open,Convicted,No
Nagaland,1985,Domestic Violence,Child abuse within a family,Tuensang,Photographic evidence,Homicide Unit,Open,Partially convicted,No
Kerala,2020,Public Corruption,"Judicial bribery scandal rocks the legal system, leading to multiple arrests",Kochi,Confession statements,SWAT Team,Open,Convicted,Yes
Uttarakhand,1984,Child Abduction,Parental kidnapping during a custody dispute,Haridwar,Medical reports,Metropolitan Police Department,Closed,Convicted,Yes
Himachal Pradesh,2013,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Shimla,Bank statements,Narcotics Division,Under Investigation,Partially convicted,Yes
Manipur,1991,Forgery,Check forgery at a bank,Ukhrul,Bank statements,Metropolitan Police Department,Open,Convicted,Yes
Punjab,1980,Child Abduction,Amber Alert issued for missing child,Ludhiana,Crime scene photographs,Cyber Crimes Unit,Under Investigation,Not convicted,No
Jharkhand,2012,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Jamshedpur,Witness statements,Major Crimes Unit,Under Investigation,Convicted,Yes
